Position,Track Name
1,Despacito - Remix
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"
3,Wild Thoughts (feat. Rihanna & Bryson Tiller)
4,XO TOUR Llif3
5,HUMBLE.
6,Unforgettable
7,Congratulations
8,Signs
9,Redbone
10,Mask Off
11,Believer
12,Location
13,DNA.
14,2U (feat. Justin Bieber)
15,Magnolia
16,1-800-273-8255
17,Stay (with Alessia Cara)
18,Body Like A Back Road
19,That's What I Like
20,BUTTERFLY EFFECT
21,Thunder
22,goosebumps
23,Strip That Down
24,Slippery (feat. Gucci Mane)
25,Now Or Never
26,Attention
27,Shape of You
28,LOVE. FEAT. ZACARI.
29,4 AM
30,Passionfruit
31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
32,Bad Liar
33,Slide (feat. Frank Ocean & Migos)
34,Drowning (feat. Kodak Black)
35,iSpy (feat. Lil Yachty)
36,Slow Hands
37,There's Nothing Holdin' Me Back
38,Don't Quit (feat. Travis Scott & Jeremih)
39,No Complaints
40,Malibu
41,Rollin (feat. Future & Khalid)
42,There for You
43,Despacito (Featuring Daddy Yankee)
44,Portland
45,Something Just Like This
46,LOYALTY. FEAT. RIHANNA.
47,Tunnel Vision
48,It's A Vibe
49,Whatever It Takes
50,Issues
51,Gyalchester
52,It Ain't Me (with Selena Gomez)
53,Crying in the Club
54,Bounce Back
55,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
56,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
57,wokeuplikethis*
58,To the Max
59,Look At Me!
60,I Like Me Better
61,Bad and Boujee (feat. Lil Uzi Vert)
62,Closer
63,Say You Won't Let Go
64,Swang
65,Love Galore (feat. Travis Scott)
66,T-Shirt
67,Young Dumb & Broke
68,Fake Love
69,Down
70,do re mi
71,Mama
72,Most Girls
73,Rolex
74,More Than You Know
75,ELEMENT.
76,Homemade Dynamite
77,First Time
78,Broccoli (feat. Lil Yachty)
79,First Day Out
80,Sign of the Times
81,Met Gala (feat. Offset)
82,Pretty Girl - Cheat Codes X CADE Remix
83,Your Song
84,Swish Swish
85,Starboy
86,No Promises (feat. Demi Lovato)
87,One Dance
88,No Problem (feat. Lil Wayne & 2 Chainz)
89,Relationship (feat. Future)
90,Good Drank
91,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
92,Money Longer
93,White Iverson
94,pick up the phone
95,Congratulations - Remix
96,Losin Control
97,Hurricane
98,Caroline
99,Nights With You
100,Walking The Wire
101,Shining (feat. Beyoncé & Jay-Z)
102,In Case You Didn't Know
103,Paris
104,Go Flex
105,Neighbors
106,I Feel It Coming
107,24K Magic
108,Tone It Down (feat. Chris Brown)
109,No Vacancy
110,Felices los 4
111,I Don’t Know Why
112,Green Light
113,beibs in the trap
114,The Cure
115,X (feat. Future)
116,Symphony (feat. Zara Larsson)
117,You Was Right
118,Everyday We Lit (feat. PnB Rock)
119,PRBLMS
120,Selfish (feat. Rihanna)
121,Big Fish
122,"On Everything (feat. Travis Scott, Rick Ross & Big Sean)"
123,No Role Modelz
124,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
125,Feel It Still
126,Don't Let Me Down
127,Black Beatles
128,Low Life
129,Jump Out The Window
130,Castle on the Hill
131,What They Want
132,Start Over
133,Everybody
134,Moves
135,Up
136,Starving
137,Reminding Me
138,Can I Be Him
139,Perfect Places
140,Candy Paint
141,Quit (feat. Ariana Grande)
142,"God, Your Mama, And Me"
143,Both (feat. Drake)
144,Run Me Dry
145,Mask Off - Remix
146,Small Town Boy
147,Weak
148,"Iced Out My Arms (feat. Future, Migos, 21 Savage & T.I.)"
149,Flex Like Ouu
150,The Night We Met
151,I’ll Make It Up To You
152,Bad At Love
153,Myself
154,Love On The Brain
155,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)"
156,Craving You
157,From The D To The A (feat. Lil Yachty)
158,Don't
159,Reminder
160,Rise Up
161,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version
162,XXX. FEAT. U2.
163,Galway Girl
164,I Love You so Much (feat. Chance the Rapper)
165,What Ifs
166,"How Far I'll Go - From ""Moana"""
167,Chill Bill
168,Skateboard P (feat. Big Sean)
169,Exchange
170,Patty Cake
171,Yeah Right
172,Get Right Witcha
173,Escápate Conmigo
174,Trap Paris (feat. Quavo & Ty Dolla $ign)
175,Selfish
176,Saved
177,High Without Your Love
178,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
179,Uh Huh
180,Two High
181,No Heart
182,Rockabye (feat. Sean Paul & Anne-Marie)
183,Some Way
184,Ride
185,Teenage Fever
186,Heathens
187,No Flockin
188,H.O.L.Y.
189,Nobody Else But You
190,Panda
191,Side To Side
192,How Far I'll Go
193,Ex Calling
194,Come and See Me (feat. Drake)
195,Peek A Boo
196,Cold Water (feat. Justin Bieber & MØ)
197,Scared to Be Lonely
198,'Till I Collapse
199,Call On Me - Ryan Riback Extended Remix
200,Party Monster
1,"thank u, next"
2,Mo Bamba
3,SICKO MODE
4,ZEZE (feat. Travis Scott & Offset)
5,Drip Too Hard (Lil Baby & Gunna)
6,Without Me
7,Sunflower - Spider-Man: Into the Spider-Verse
8,BAD!
9,Lucid Dreams
10,Wake Up in the Sky
11,Armed And Dangerous
12,when the party's over
13,All I Want for Christmas Is You
14,come out and play
15,Happier
16,Leave Me Alone
17,SAD!
18,Better
19,Arms Around You (feat. Maluma & Swae Lee)
20,FEFE (feat. Nicki Minaj & Murda Beatz)
21,Topanga
22,MIA (feat. Drake)
23,Moonlight
24,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
25,10 Freaky Girls (with 21 Savage)
26,Better Now
27,Rockin' Around The Christmas Tree - Single Version
28,Nonstop
29,Jingle Bell Rock
30,Money
31,Falling Down - Bonus Track
32,lovely (with Khalid)
33,Santa Tell Me
34,Fine China
35,It's the Most Wonderful Time of the Year
36,"Never Recover (Lil Baby & Gunna, Drake)"
37,Taste (feat. Offset)
38,TIC TOC (feat. Lil Baby)
39,KIKA (feat. Tory Lanez)
40,Yes Indeed
41,Jocelyn Flores
42,Eastside (with Halsey & Khalid)
43,Don't Come Out The House (with 21 Savage)
44,"MAMA (feat. Nicki Minaj, Kanye West)"
45,WAKA (feat. A Boogie Wit da Hoodie)
46,1400 / 999 Freestyle
47,Fuck Love (feat. Trippie Redd)
48,Space Cadet (feat. Gunna)
49,bellyache
50,All Girls Are The Same
51,idontwannabeyouanymore
52,Close To Me (with Diplo) (feat. Swae Lee)
53,Shallow
54,Bohemian Rhapsody - Remastered 2011
55,breathin
56,No Stylist
57,Lean Wit Me
58,STOOPID
59,It's Beginning to Look a Lot Like Christmas
60,A Holly Jolly Christmas - Single Version
61,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)
62,Last Christmas
63,High Hopes
64,In My Feelings
65,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)"
66,I Fall Apart
67,Ruin My Life
68,Noticed
69,Do They Know It's Christmas? - 1984 Version
70,I Love It (& Lil Pump)
71,rockstar (feat. 21 Savage)
72,changes
73,I Like It
74,Holly Jolly Christmas
75,The Christmas Song (Merry Christmas To You)
76,White Christmas
77,Psycho (feat. Ty Dolla $ign)
78,Youngblood
79,Bad Liar
80,ocean eyes
81,BEBE
82,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version
83,God's Plan
84,Happy Now
85,New Patek
86,God is a woman
87,Mistletoe
88,Take One
89,YOSEMITE
90,STARGAZING
91,REEL IT IN
92,WORKIN ME
93,Everybody Dies In Their Nightmares
94,Beautiful (feat. Camila Cabello)
95,Lucky You (feat. Joyner Lucas)
96,Ric Flair Drip (& Metro Boomin)
97,Girls Like You (feat. Cardi B)
98,Natural
99,Lonesome Train
100,Look Alive (feat. Drake)
101,no tears left to cry
102,XO TOUR Llif3
103,Uproar
104,Mona Lisa (feat. Kendrick Lamar)
105,Trip
106,TATI
107,Blue Christmas
108,Woman Like Me (feat. Nicki Minaj)
109,Saturday Nights
110,Wasted (feat. Lil Uzi Vert)
111,Underneath the Tree
112,Have Yourself A Merry Little Christmas
113,Nice For What
114,KANGA (feat. Kanye West)
115,Plug Walk
116,This Feeling (feat. Kelsea Ballerini)
117,SLOW DANCING IN THE DARK
118,you should see me in a crown
119,Love Lies (with Normani)
120,goosebumps
121,Congratulations
122,Close Friends (Lil Baby & Gunna)
123,Kamikaze
124,Casper
125,Sundress
126,FEEFA (feat. Gunna)
127,Feliz Navidad
128,I Found You (with Calvin Harris)
129,Hope
130,Happy Xmas (War Is Over) - Remastered
131,Look At Me!
132,Taking A Walk
133,the remedy for a broken heart (why am I so in love)
134,Sweet but Psycho
135,Santa Baby
136,Lust
137,"Baby, It's Cold Outside (feat. Meghan Trainor)"
138,Don't Stop Me Now - Remastered
139,Walk
140,Another One Bites The Dust - Remastered 2011
141,Somebody To Love - Remastered 2011
142,Speechless
143,Santa Baby (with Henri René & His Orchestra)
144,Be Alright
145,Praise The Lord (Da Shine) (feat. Skepta)
146,I Like Me Better
147,Meant to Be (feat. Florida Georgia Line)
148,Kiss and Make Up
149,HUMBLE.
150,Love Scars 3
151,Self Care
152,Te Boté - Remix
153,bitches broken hearts
154,Best Part (feat. Daniel Caesar)
155,Beach House
156,Winter Wonderland
157,Young Dumb & Broke
158,Run Rudolph Run - Single Version
159,FeRRis WhEEL (feat. Trippie Redd)
